"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","hour","day","ceiling(predict_test_rf)"
"83","23-01-11 12:00","1","0","0",1,6.56,6.06,37,31.0009,12,1,85
"84","23-01-11 13:00","1","0","0",1,5.74,5.305,33,26.0027,13,1,84
"85","23-01-11 14:00","1","0","0",1,6.56,6.82,28,23.9994,14,1,86
"86","23-01-11 15:00","1","0","0",1,6.56,6.82,28,23.9994,15,1,85
"87","23-01-11 16:00","1","0","0",1,6.56,6.82,26,22.0028,16,1,87
"88","23-01-11 17:00","1","0","0",1,5.74,5.305,26,26.0027,17,1,74
"89","23-01-11 18:00","1","0","0",1,4.92,6.06,30,16.9979,18,1,66
"90","23-01-11 19:00","1","0","0",1,4.92,6.06,30,19.0012,19,1,50
"91","23-01-11 20:00","1","0","0",1,4.1,5.305,36,16.9979,20,1,38
"92","23-01-11 21:00","1","0","0",1,4.1,5.305,36,12.998,21,1,37
"93","23-01-11 22:00","1","0","0",1,3.28,4.545,38,12.998,22,1,25
"94","23-01-11 23:00","1","0","0",1,2.46,3.03,41,15.0013,23,1,17
"95","24-01-11 0:00","1","0","1",1,2.46,3.03,41,12.998,0,2,11
"96","24-01-11 1:00","1","0","1",1,1.64,2.275,45,12.998,1,2,5
"97","24-01-11 3:00","1","0","1",1,1.64,1.515,45,16.9979,3,2,5
"98","24-01-11 4:00","1","0","1",1,0.82,3.03,48,8.9981,4,2,4
"99","24-01-11 5:00","1","0","1",1,0.82,3.03,48,8.9981,5,2,5
"100","24-01-11 6:00","1","0","1",1,0.82,3.79,48,6.0032,6,2,25
"101","24-01-11 7:00","1","0","1",1,0.82,6.06,48,0,7,2,79
"102","24-01-11 8:00","1","0","1",1,1.64,6.82,49,0,8,2,170
"103","24-01-11 9:00","1","0","1",1,2.46,7.575,41,0,9,2,114
"104","24-01-11 10:00","1","0","1",1,4.1,6.82,42,0,10,2,58
"105","24-01-11 11:00","1","0","1",1,4.1,6.06,46,8.9981,11,2,51
"106","24-01-11 12:00","1","0","1",2,4.92,6.82,42,12.998,12,2,57
"107","24-01-11 13:00","1","0","1",2,5.74,6.82,43,15.0013,13,2,53
"108","24-01-11 14:00","1","0","1",2,5.74,6.82,46,15.0013,14,2,50
"109","24-01-11 15:00","1","0","1",1,6.56,8.335,40,11.0014,15,2,53
"110","24-01-11 16:00","1","0","1",1,6.56,7.575,47,16.9979,16,2,67
"111","24-01-11 17:00","1","0","1",1,5.74,6.06,50,16.9979,17,2,146
"112","24-01-11 18:00","1","0","1",1,5.74,6.82,59,12.998,18,2,137
"113","24-01-11 19:00","1","0","1",1,5.74,7.575,54,11.0014,19,2,96
"114","24-01-11 20:00","1","0","1",1,5.74,6.82,59,12.998,20,2,63
"115","24-01-11 21:00","1","0","1",1,5.74,7.575,63,11.0014,21,2,42
"116","24-01-11 22:00","1","0","1",2,5.74,6.82,63,15.0013,22,2,27
"117","24-01-11 23:00","1","0","1",2,6.56,7.575,64,16.9979,23,2,20
"118","25-01-11 0:00","1","0","1",2,6.56,6.82,69,19.0012,0,3,12
"119","25-01-11 1:00","1","0","1",2,6.56,8.335,69,11.0014,1,3,6
"120","25-01-11 2:00","1","0","1",1,6.56,7.575,69,15.0013,2,3,3
"121","25-01-11 4:00","1","0","1",1,5.74,8.335,74,7.0015,4,3,3
"122","25-01-11 5:00","1","0","1",1,5.74,6.82,74,15.0013,5,3,4
"123","25-01-11 6:00","1","0","1",1,6.56,9.09,74,7.0015,6,3,34
"124","25-01-11 7:00","1","0","1",1,6.56,7.575,74,15.0013,7,3,70
"125","25-01-11 8:00","1","0","1",2,6.56,9.09,74,8.9981,8,3,150
"126","25-01-11 9:00","1","0","1",2,8.2,11.365,64,6.0032,9,3,107
"127","25-01-11 10:00","1","0","1",2,9.02,12.12,60,7.0015,10,3,58
"128","25-01-11 11:00","1","0","1",2,9.84,12.12,60,8.9981,11,3,61
"129","25-01-11 12:00","1","0","1",2,10.66,14.395,56,6.0032,12,3,72
"130","25-01-11 13:00","1","0","1",2,10.66,13.635,56,8.9981,13,3,72
"131","25-01-11 14:00","1","0","1",2,12.3,16.665,45,0,14,3,69
"132","25-01-11 15:00","1","0","1",2,13.12,17.425,42,0,15,3,69
"133","25-01-11 16:00","1","0","1",2,13.12,17.425,42,0,16,3,84
"134","25-01-11 17:00","1","0","1",1,12.3,16.665,45,0,17,3,186
"135","25-01-11 18:00","1","0","1",2,12.3,15.91,49,6.0032,18,3,169
"136","25-01-11 19:00","1","0","1",2,10.66,12.88,65,11.0014,19,3,113
"137","25-01-11 20:00","1","0","1",1,9.84,11.365,65,12.998,20,3,69
"138","25-01-11 21:00","1","0","1",1,9.84,11.365,65,12.998,21,3,46
"139","25-01-11 22:00","1","0","1",1,9.02,11.365,64,11.0014,22,3,35
"140","25-01-11 23:00","1","0","1",2,9.02,11.365,64,11.0014,23,3,20
"141","26-01-11 0:00","1","0","1",2,9.02,11.365,69,8.9981,0,4,10
"142","26-01-11 1:00","1","0","1",2,9.84,12.12,65,8.9981,1,4,6
"143","26-01-11 2:00","1","0","1",3,9.02,11.365,69,12.998,2,4,4
"144","26-01-11 5:00","1","0","1",3,8.2,9.09,86,19.0012,5,4,3
"145","26-01-11 6:00","1","0","1",3,8.2,9.09,86,19.0012,6,4,32
"146","26-01-11 7:00","1","0","1",3,9.02,10.605,87,19.9995,7,4,76
"147","26-01-11 8:00","1","0","1",3,9.02,10.605,87,19.9995,8,4,156
"148","26-01-11 9:00","1","0","1",3,9.02,10.605,87,19.9995,9,4,89
"149","26-01-11 10:00","1","0","1",3,9.02,10.605,93,19.0012,10,4,53
"150","26-01-11 11:00","1","0","1",3,9.02,9.85,93,22.0028,11,4,47
"151","26-01-11 12:00","1","0","1",3,9.02,9.85,93,22.0028,12,4,45
"152","26-01-11 13:00","1","0","1",3,9.02,9.85,93,22.0028,13,4,45
"153","26-01-11 14:00","1","0","1",3,9.02,9.85,93,23.9994,14,4,45
"154","26-01-11 15:00","1","0","1",3,9.02,9.09,93,31.0009,15,4,48
"155","26-01-11 16:00","1","0","1",4,9.02,9.85,93,22.0028,16,4,64
"156","26-01-11 17:00","1","0","1",3,8.2,9.09,93,23.9994,17,4,127
"157","27-01-11 16:00","1","0","1",1,9.02,11.365,55,12.998,16,5,79
"158","27-01-11 17:00","1","0","1",1,9.02,12.12,55,7.0015,17,5,165
"159","27-01-11 18:00","1","0","1",1,8.2,11.365,69,6.0032,18,5,137
"160","27-01-11 19:00","1","0","1",1,8.2,11.365,69,6.0032,19,5,100
"161","27-01-11 20:00","1","0","1",1,7.38,10.605,74,6.0032,20,5,62
"162","27-01-11 21:00","1","0","1",1,7.38,10.605,74,6.0032,21,5,46
"163","27-01-11 22:00","1","0","1",1,7.38,10.605,74,6.0032,22,5,34
"164","27-01-11 23:00","1","0","1",1,7.38,9.85,80,11.0014,23,5,17
"165","28-01-11 0:00","1","0","1",2,8.2,10.605,75,8.9981,0,6,11
"166","28-01-11 1:00","1","0","1",2,8.2,10.605,75,8.9981,1,6,6
"167","28-01-11 2:00","1","0","1",2,8.2,10.605,75,11.0014,2,6,4
"168","28-01-11 3:00","1","0","1",2,8.2,11.365,75,7.0015,3,6,6
"169","28-01-11 5:00","1","0","1",2,7.38,10.605,80,7.0015,5,6,4
"170","28-01-11 6:00","1","0","1",2,7.38,9.85,80,8.9981,6,6,33
"171","28-01-11 7:00","1","0","1",2,6.56,9.85,86,6.0032,7,6,82
"172","28-01-11 8:00","1","0","1",2,6.56,9.85,86,6.0032,8,6,161
"173","28-01-11 9:00","1","0","1",3,7.38,10.605,86,6.0032,9,6,92
"174","28-01-11 10:00","1","0","1",3,7.38,10.605,86,7.0015,10,6,49
"175","28-01-11 11:00","1","0","1",3,7.38,10.605,93,7.0015,11,6,55
"176","28-01-11 12:00","1","0","1",3,7.38,10.605,93,7.0015,12,6,55
"177","28-01-11 13:00","1","0","1",3,7.38,10.605,93,7.0015,13,6,54
"178","28-01-11 14:00","1","0","1",3,9.02,13.635,80,0,14,6,48
"179","28-01-11 15:00","1","0","1",2,8.2,12.88,86,0,15,6,45
"180","28-01-11 16:00","1","0","1",1,9.02,13.635,80,0,16,6,69
"181","28-01-11 17:00","1","0","1",1,9.84,12.12,75,8.9981,17,6,155
"182","28-01-11 18:00","1","0","1",1,9.84,11.365,75,12.998,18,6,148
"183","28-01-11 19:00","1","0","1",2,9.84,12.12,75,8.9981,19,6,103
"184","28-01-11 20:00","1","0","1",2,9.84,11.365,70,12.998,20,6,66
"185","28-01-11 21:00","1","0","1",2,9.02,11.365,75,8.9981,21,6,45
"186","28-01-11 22:00","1","0","1",1,9.84,10.605,65,23.9994,22,6,38
"187","28-01-11 23:00","1","0","1",1,9.84,11.365,60,15.0013,23,6,21
"188","29-01-11 0:00","1","0","0",1,9.02,9.85,64,23.9994,0,7,21
"189","29-01-11 1:00","1","0","0",1,9.02,11.365,64,12.998,1,7,17
"190","29-01-11 2:00","1","0","0",1,9.02,11.365,64,11.0014,2,7,10
"191","29-01-11 3:00","1","0","0",1,8.2,10.605,64,8.9981,3,7,7
"192","29-01-11 4:00","1","0","0",1,6.56,9.09,69,7.0015,4,7,3
"193","29-01-11 6:00","1","0","0",1,6.56,9.09,64,8.9981,6,7,3
"194","29-01-11 7:00","1","0","0",1,6.56,9.09,59,7.0015,7,7,16
"195","29-01-11 8:00","1","0","0",1,7.38,9.85,55,11.0014,8,7,30
"196","29-01-11 9:00","1","0","0",1,7.38,10.605,59,6.0032,9,7,37
"197","29-01-11 10:00","1","0","0",2,7.38,10.605,64,7.0015,10,7,62
"198","29-01-11 11:00","1","0","0",2,7.38,9.85,64,8.9981,11,7,64
"199","29-01-11 12:00","1","0","0",2,8.2,9.85,59,12.998,12,7,87
"200","29-01-11 13:00","1","0","0",2,9.02,11.365,55,11.0014,13,7,90
"201","29-01-11 14:00","1","0","0",2,9.02,11.365,60,8.9981,14,7,90
"202","29-01-11 15:00","1","0","0",1,9.02,10.605,69,16.9979,15,7,90
"203","29-01-11 16:00","1","0","0",1,9.84,12.12,60,11.0014,16,7,94
"204","29-01-11 17:00","1","0","0",1,9.84,14.395,60,0,17,7,75
"205","29-01-11 18:00","1","0","0",1,9.02,11.365,69,8.9981,18,7,68
"206","29-01-11 19:00","1","0","0",2,9.02,10.605,69,16.9979,19,7,60
"207","29-01-11 20:00","1","0","0",1,7.38,10.605,74,6.0032,20,7,46
"208","29-01-11 21:00","1","0","0",1,7.38,10.605,74,6.0032,21,7,37
"209","29-01-11 22:00","1","0","0",1,6.56,9.85,80,6.0032,22,7,24
"210","29-01-11 23:00","1","0","0",1,6.56,9.85,80,6.0032,23,7,15
"211","30-01-11 0:00","1","0","0",1,6.56,9.09,80,7.0015,0,1,24
"212","30-01-11 1:00","1","0","0",1,5.74,10.605,80,0,1,1,22
"213","30-01-11 2:00","1","0","0",1,6.56,11.365,80,0,2,1,15
"214","30-01-11 3:00","1","0","0",1,5.74,10.605,93,0,3,1,11
"215","30-01-11 4:00","1","0","0",1,5.74,10.605,93,0,4,1,7
"216","30-01-11 5:00","1","0","0",1,5.74,10.605,86,0,5,1,7
"217","30-01-11 7:00","1","0","0",1,5.74,10.605,86,0,7,1,15
"218","30-01-11 8:00","1","0","0",2,5.74,10.605,86,0,8,1,24
"219","30-01-11 9:00","1","0","0",2,6.56,11.365,80,0,9,1,30
"220","30-01-11 10:00","1","0","0",2,7.38,12.12,80,0,10,1,62
"221","30-01-11 11:00","1","0","0",1,9.02,13.635,75,0,11,1,62
"222","30-01-11 12:00","1","0","0",1,12.3,15.91,52,7.0015,12,1,91
"223","30-01-11 13:00","1","0","0",1,11.48,14.395,61,7.0015,13,1,90
"224","30-01-11 14:00","1","0","0",1,11.48,15.15,61,6.0032,14,1,89
"225","30-01-11 15:00","1","0","0",1,12.3,16.665,56,0,15,1,91
"226","30-01-11 16:00","1","0","0",1,12.3,16.665,56,0,16,1,90
"227","30-01-11 17:00","1","0","0",1,12.3,14.395,56,12.998,17,1,80
"228","30-01-11 18:00","1","0","0",1,10.66,12.88,65,11.0014,18,1,71
"229","30-01-11 19:00","1","0","0",1,10.66,12.88,65,12.998,19,1,61
"230","30-01-11 20:00","1","0","0",2,10.66,13.635,65,7.0015,20,1,51
"231","30-01-11 21:00","1","0","0",2,9.84,12.12,70,11.0014,21,1,37
"232","30-01-11 22:00","1","0","0",2,9.84,11.365,70,12.998,22,1,24
"233","30-01-11 23:00","1","0","0",2,9.84,10.605,65,19.0012,23,1,18
"234","31-01-11 0:00","1","0","1",2,9.84,11.365,65,15.0013,0,2,12
"235","31-01-11 1:00","1","0","1",1,9.02,10.605,64,16.9979,1,2,5
"236","31-01-11 2:00","1","0","1",1,9.02,11.365,64,12.998,2,2,4
"237","31-01-11 3:00","1","0","1",1,9.02,11.365,64,12.998,3,2,6
"238","31-01-11 4:00","1","0","1",1,8.2,9.85,59,15.0013,4,2,2
"239","31-01-11 5:00","1","0","1",1,7.38,8.335,64,19.0012,5,2,3
"240","31-01-11 6:00","1","0","1",1,6.56,6.82,69,22.0028,6,2,33
"241","31-01-11 7:00","1","0","1",2,6.56,6.82,64,19.0012,7,2,68
"242","31-01-11 8:00","1","0","1",2,6.56,6.82,59,19.0012,8,2,148
"243","31-01-11 9:00","1","0","1",2,6.56,6.82,59,19.9995,9,2,92
"244","31-01-11 10:00","1","0","1",2,6.56,7.575,59,12.998,10,2,46
"245","31-01-11 11:00","1","0","1",2,6.56,7.575,59,12.998,11,2,46
"246","31-01-11 12:00","1","0","1",2,7.38,10.605,55,7.0015,12,2,60
"247","31-01-11 13:00","1","0","1",2,6.56,11.365,59,0,13,2,64
"248","31-01-11 14:00","1","0","1",2,7.38,9.85,55,8.9981,14,2,52
"249","31-01-11 15:00","1","0","1",2,6.56,9.09,59,8.9981,15,2,49
"250","31-01-11 16:00","1","0","1",2,6.56,9.09,56,12.998,16,2,67
"251","31-01-11 17:00","1","0","1",2,6.56,7.575,59,12.998,17,2,145
"252","31-01-11 18:00","1","0","1",2,6.56,7.575,55,15.0013,18,2,136
"253","31-01-11 19:00","1","0","1",1,12.3,15.91,61,7.0015,19,2,117
"254","31-01-11 20:00","1","0","1",3,6.56,8.335,59,11.0014,20,2,59
"255","31-01-11 21:00","1","0","1",3,6.56,9.85,59,6.0032,21,2,35
"256","31-01-11 22:00","1","0","1",2,6.56,9.09,59,7.0015,22,2,32
"257","31-01-11 23:00","1","0","1",2,6.56,9.85,64,6.0032,23,2,20
